iter	Passed	Remaining
1016	5607	104668
1017	5611	104625
1018	5617	104629
1019	5622	104620
1020	5625	104570
1021	5631	104572
1022	5636	104567
1023	5642	104556
1024	5647	104556
1025	5653	104557
1026	5659	104547
1027	5664	104543
1028	5669	104531
1029	5675	104534
1030	5680	104521
1031	5686	104515
1032	5691	104509
1033	5697	104504
1034	5702	104499
1035	5708	104494
1036	5713	104487
1037	5719	104485
1038	5725	104479
1039	5728	104430
1040	5733	104423
1041	5739	104419
1042	5742	104372
1043	5747	104366
1044	5754	104371
1045	5759	104370
1046	5765	104370
1047	5768	104310
1048	5771	104263
1049	5776	104257
1050	5779	104197
1051	5784	104185
1052	5786	104127
1053	5792	104121
1054	5797	104112
1055	5803	104110
1056	5805	104045
1057	5807	103982
1058	5811	103936
1059	5816	103927
1060	5821	103922
1061	5827	103919
1062	5832	103909
1063	5836	103864
1064	5842	103874
1065	5848	103877
1066	5853	103868
1067	5859	103865
1068	5865	103868
1069	5870	103860
1070	5876	103857
1071	5882	103859
1072	5887	103856
1073	5893	103854
1074	5898	103846
1075	5904	103844
1076	5906	103780
1077	5912	103778
1078	5918	103779
1079	5921	103740
1080	5927	103745
1081	5933	103745
1082	5939	103748
1083	5944	103738
1084	5950	103735
1085	5956	103738
1086	5961	103729
1087	5966	103719
1088	5972	103720
1089	5978	103721
1090	5984	103720
1091	5989	103714
1092	5995	103718
1093	6001	103713
1094	6007	103719
1095	6013	103720
1096	6019	103722
1097	6024	103711
1098	6029	103701
1099	6035	103702
1100	6041	103707
1101	6047	103704
1102	6053	103709
1103	6059	103714
1104	6065	103715
1105	6070	103705
1106	6076	103707
1107	6082	103704
1108	6088	103706
1109	6093	103696
1110	6098	103692
1111	6104	103689
1112	6110	103688
1113	6115	103685
1114	6121	103684
1115	6124	103639
1116	6130	103639
1117	6136	103639
1118	6142	103644
1119	6148	103648
1120	6154	103643
1121	6160	103646
1122	6165	103637
1123	6171	103640
1124	6177	103643
1125	6183	103647
1126	6185	103586
1127	6191	103587
1128	6197	103592
1129	6203	103590
1130	6208	103584
1131	6214	103577
1132	6220	103579
1133	6225	103576
1134	6230	103563
1135	6235	103552
1136	6239	103508
1137	6245	103511
1138	6250	103507
1139	6256	103508
1140	6262	103505
1141	6268	103510
1142	6272	103478
1143	6278	103477
1144	6283	103467
1145	6289	103470
1146	6294	103462
1147	6300	103461
1148	6305	103456
1149	6311	103460
1150	6318	103466
1151	6323	103456
1152	6329	103456
1153	6334	103453
1154	6340	103455
1155	6345	103445
1156	6351	103435
1157	6357	103438
1158	6360	103402
1159	6363	103344
1160	6368	103338
1161	6374	103343
1162	6380	103345
1163	6384	103309
1164	6389	103305
1165	6395	103308
1166	6401	103309
1167	6406	103298
1168	6412	103301
1169	6415	103258
1170	6421	103250
1171	6427	103248
1172	6432	103240
1173	6438	103240
1174	6443	103236
1175	6449	103231
1176	6452	103195
1177	6458	103193
1178	6461	103152
1179	6464	103096
1180	6467	103052
1181	6473	103053
1182	6478	103055
1183	6484	103054
1184	6490	103046
1185	6492	102989
1186	6497	102980
1187	6502	102973
1188	6504	102907
1189	6507	102865
1190	6511	102828
1191	6513	102777
1192	6519	102772
1193	6524	102770
1194	6527	102714
1195	6532	102713
1196	6538	102709
1197	6541	102669
1198	6547	102666
1199	6553	102665
1200	6554	102601
1201	6560	102600
1202	6563	102562
1203	6569	102564
1204	6575	102562
1205	6577	102506
1206	6583	102507
1207	6587	102469
1208	6590	102429
1209	6596	102432
1210	6601	102431
1211	6608	102435
1212	6610	102378
1213	6615	102372
1214	6620	102365
1215	6626	102368
1216	6632	102369
1217	6638	102369
1218	6644	102371
1219	6648	102342
1220	6653	102333
1221	6659	102334
1222	6664	102326
1223	6670	102318
1224	6676	102320
1225	6681	102321
1226	6687	102325
1227	6693	102323
1228	6699	102325
1229	6705	102326
1230	6710	102320
1231	6716	102310
1232	6722	102313
1233	6724	102258
1234	6729	102249
1235	6732	102210
1236	6738	102211
1237	6743	102202
1238	6749	102200
1239	6755	102203
1240	6758	102163
1241	6764	102168
1242	6770	102171
1243	6776	102172
1244	6782	102172
1245	6784	102118
1246	6790	102118
1247	6796	102120
1248	6802	102124
1249	6808	102120
1250	6811	102082
1251	6816	102080
1252	6820	102043
1253	6823	102004
1254	6829	102001
1255	6834	101997
1256	6838	101965
1257	6843	101955
1258	6849	101954
1259	6855	101958
1260	6860	101955
1261	6866	101947
1262	6871	101945
1263	6877	101948
1264	6882	101938
1265	6886	101904
1266	6892	101904
1267	6897	101899
1268	6903	101900
1269	6909	101905
1270	6911	101852
1271	6915	101815
1272	6920	101806
1273	6923	101769
1274	6926	101717
1275	6931	101707
1276	6936	101699
1277	6942	101705
1278	6947	101698
1279	6953	101698
1280	6957	101662
1281	6962	101659
1282	6968	101662
1283	6974	101657
1284	6979	101654
1285	6985	101653
1286	6991	101653
1287	6997	101655
1288	7003	101656
1289	7008	101650
1290	7011	101602
1291	7016	101592
1292	7018	101541
1293	7025	101562
1294	7031	101561
1295	7037	101563
1296	7042	101556
1297	7047	101548
1298	7053	101550
1299	7059	101543
1300	7064	101540
1301	7069	101531
1302	7076	101536
1303	7079	101500
1304	7085	101502
1305	7091	101506
1306	7097	101506
1307	7103	101510
1308	7108	101503
1309	7114	101505
1310	7120	101506
1311	7126	101502
1312	7131	101499
1313	7137	101501
1314	7143	101499
1315	7146	101462
1316	7151	101453
1317	7157	101450
1318	7162	101443
1319	7168	101438
1320	7173	101431
1321	7178	101423
1322	7184	101421
1323	7189	101416
1324	7193	101386
1325	7199	101385
1326	7204	101382
1327	7208	101346
1328	7215	101367
1329	7217	101318
1330	7223	101320
1331	7229	101320
1332	7235	101321
1333	7238	101284
1334	7244	101281
1335	7249	101279
1336	7255	101281
1337	7261	101279
1338	7266	101275
1339	7272	101268
1340	7275	101232
1341	7280	101224
1342	7286	101224
1343	7289	101178
1344	7294	101180
1345	7300	101179
1346	7306	101175
1347	7311	101167
1348	7314	101135
1349	7317	101085
1350	7322	101080
1351	7326	101049
1352	7332	101051
1353	7337	101044
1354	7343	101047
1355	7348	101039
1356	7354	101036
1357	7360	101036
1358	7366	101042
1359	7372	101043
1360	7377	101035
1361	7382	101030
1362	7386	100994
1363	7391	100986
1364	7396	100976
1365	7402	100982
1366	7408	100977
1367	7413	100977
1368	7419	100972
1369	7421	100926
1370	7427	100918
1371	7433	100922
1372	7438	100919
1373	7444	100911
1374	7449	100903
1375	7454	100895
1376	7460	100894
1377	7465	100885
1378	7467	100841
1379	7473	100833
1380	7479	100834
1381	7484	100825
1382	7486	100781
1383	7492	100777
1384	7497	100771
1385	7503	100771
1386	7509	100769
1387	7514	100768
1388	7520	100771
1389	7524	100736
1390	7527	100701
1391	7532	100692
1392	7538	100689
1393	7543	100686
1394	7547	100656
1395	7550	100625
1396	7555	100617
1397	7561	100613
1398	7566	100605
1399	7568	100550
1400	7574	100553
1401	7579	100551
1402	7583	100521
1403	7589	100529
1404	7595	100527
1405	7598	100483
1406	7600	100435
1407	7602	100392
1408	7608	100390
1409	7610	100337
1410	7616	100339
1411	7621	100334
1412	7627	100336
1413	7631	100306
1414	7636	100304
1415	7639	100257
1416	7644	100255
1417	7648	100226
1418	7653	100222
1419	7656	100175
1420	7661	100176
1421	7667	100175
1422	7669	100129
1423	7675	100125
1424	7681	100126
1425	7686	100119
1426	7688	100074
1427	7694	100075
1428	7700	100078
1429	7706	100076
1430	7711	100069
1431	7717	100067
1432	7722	100059
1433	7725	100025
1434	7728	99991
1435	7734	99988
1436	7737	99956
1437	7743	99954
1438	7746	99921
1439	7749	99879
1440	7755	99879
1441	7760	99872
1442	7763	99843
1443	7767	99810
1444	7773	99817
1445	7779	99818
1446	7784	99812
1447	7790	99812
1448	7796	99810
1449	7801	99808
1450	7807	99801
1451	7812	99799
1452	7818	99803
1453	7824	99804
1454	7830	99809
1455	7836	99803
1456	7841	99803
1457	7848	99806
1458	7853	99805
1459	7859	99805
1460	7865	99803
1461	7870	99796
1462	7876	99794
1463	7882	99797
1464	7887	99795
1465	7891	99766
1466	7896	99761
1467	7899	99728
1468	7905	99721
1469	7910	99720
1470	7916	99716
1471	7921	99710
1472	7927	99704
1473	7933	99706
1474	7938	99706
1475	7944	99706
1476	7948	99675
1477	7950	99630
1478	7956	99634
1479	7962	99637
1480	7968	99639
1481	7974	99640
1482	7980	99641
1483	7986	99642
1484	7992	99645
1485	7997	99643
1486	8003	99643
1487	8009	99644
1488	8015	99643
1489	8021	99647
1490	8027	99650
1491	8033	99652
1492	8039	99650
1493	8044	99646
1494	8050	99648
1495	8055	99643
1496	8061	99637
1497	8067	99637
1498	8072	99634
1499	8077	99628
1500	8083	99629
1501	8089	99628
1502	8092	99596
1503	8098	99590
1504	8103	99587
1505	8109	99580
1506	8114	99577
1507	8120	99575
1508	8126	99577
1509	8132	99578
1510	8138	99581
1511	8144	99585
1512	8150	99593
1513	8156	99591
1514	8162	99592
1515	8168	99592
1516	8173	99587
1517	8179	99584
1518	8184	99581
1519	8190	99580
1520	8196	99577
1521	8201	99570
1522	8206	99564
1523	8212	99564
